"Antimicrobial";"Bacterium";"DiskContent";"Z6";"Z7";"Z8";"Z9";"Z10";"Z11";"Z12";"Z13";"Z14";"Z15";"Z16";"Z17";"Z18";"Z19";"Z20";"Z21";"Z22";"Z23";"Z24";"Z25";"Z26";"Z27";"Z28";"Z29";"Z30";"Z31";"Z32";"Z33";"Z34";"Z35";"Z36";"Z37";"Z38";"Z39";"Z40";"Z41";"Z42";"Z43";"Z44";"Z45";"Z46";"Z47";"Z48";"Z49";"Z50";"ECOFF";"Distributions";"Observations"
"Amikacin";"Acinetobacter baumannii";30;18;1;3;1;2;1;3;2;5;3;2;2;3;6;3;7;12;9;3;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;94
"Amikacin";"Acinetobacter pittii";30;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;4;19;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;38
"Amikacin";"Acinetobacter spp";30;14;1;3;0;2;1;2;3;6;5;5;3;4;10;18;22;36;57;29;14;7;5;5;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;5;257
"Amikacin";"Citrobacter freundii";30;30;0;0;0;0;0;0;0;0;0;0;1;1;2;11;23;22;25;10;13;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;143
"Amikacin";"Citrobacter koseri";30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;8;10;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;61
"Amikacin";"Enterobacter asburiae";30;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;31
"Amikacin";"Enterobacter cloacae";30;30;0;0;0;0;0;0;0;0;0;0;0;1;4;22;56;50;37;21;9;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;9;233
"Amikacin";"Escherichia coli";30;38;0;0;0;1;4;2;3;8;7;15;33;127;310;546;722;786;691;426;160;41;13;3;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;9;3941
"Amikacin";"Escherichia coli ATCC 25922";30;0;0;0;0;0;0;0;0;0;0;0;0;0;68;151;303;311;328;281;177;95;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;14;1715
"Amikacin";"Klebsiella aerogenes";30;0;0;0;0;0;0;0;0;0;0;0;0;1;3;8;9;8;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;35
